customer_code,date_of_joining
1888,2011-03-23
1889,2011-03-27
1897,2011-02-04
1899,2011-08-04
1904,2011-04-22
1914,2011-08-05
1927,2011-05-06
1929,2011-10-06
1948,2011-07-14
1950,2011-07-15
1954,2011-07-15
1956,2011-07-17
1997,2011-08-28
2008,2011-07-09
2011,2011-08-09
2075,2011-11-13
2112,2012-08-01
2119,2012-01-21
2120,2012-01-22
2121,2012-01-25
2174,2012-04-13
2178,2012-04-15
2182,2012-04-23
2200,2012-05-26
2329,2012-09-13
2330,2012-09-13
2342,2012-09-16
2199,2012-05-26
146,1997-03-03
149,1997-03-03
442,2000-05-24
1831,2010-10-12
2132,2012-02-22
2315,2012-03-09
29,1997-03-03
32,1997-03-03
34,1997-03-03
469,2001-04-22
535,2002-02-28
547,2002-04-19
1360,2008-09-18
1411,2009-01-30
1853,2011-12-02
1960,2011-07-20
1986,2011-08-08
2307,2012-08-27
1879,2011-04-03
2279,2012-02-08
104,1997-03-03
236,1997-06-03
337,1997-04-18
408,1999-03-05
596,2002-12-18
846,2004-05-27
998,2005-03-04
1155,2007-11-02
1989,2011-08-18
2035,2011-09-28
2318,2012-03-09
523,2001-11-17
1148,2007-01-13
1186,2007-09-05
1752,2010-03-09
2243,2012-05-07
944,2004-11-24
1526,2009-08-29
1672,2010-03-05
2031,2011-09-25
2115,2012-12-01
108,1997-03-03
446,2000-06-14
1416,2009-02-13
1886,2011-03-19
2244,2012-06-07
330,1997-09-04
1252,2007-11-17
1873,2011-02-25
2082,2011-11-27
43,1997-03-03
60,1997-03-03
62,1997-03-03
64,1997-03-03
68,1997-03-03
80,1997-03-03
86,1997-03-03
87,1997-03-03
89,1997-03-03
93,1997-03-03
96,1997-03-03
98,1997-03-03
114,1997-03-03
116,1997-03-03
120,1997-03-03
122,1997-03-03
123,1997-03-03
124,1997-03-03
126,1997-03-03
131,1997-03-03
134,1997-03-03
135,1997-03-03
163,1997-03-03
175,1997-03-03
178,1997-03-03
180,1997-03-03
181,1997-03-03
188,1997-03-03
227,1997-06-03
228,1997-06-03
231,1997-06-03
232,1997-06-03
238,1997-06-03
247,1997-06-03
276,1997-06-03
278,1997-06-03
285,1997-06-03
292,1997-02-04
296,1997-02-04
299,1997-02-04
302,1997-02-04
303,1997-02-04
305,1997-02-04
325,1997-07-04
326,1997-09-04
327,1997-09-04
328,1997-09-04
333,1997-11-04
357,1997-10-25
368,1998-02-25
379,1998-03-07
385,1998-12-09
388,1998-09-10
393,1998-11-26
394,1998-12-16
419,1999-09-29
427,2000-01-16
440,2000-05-18
455,2000-10-09
456,2000-09-24
457,2000-10-25
464,2001-03-24
470,2001-04-27
483,2001-08-29
525,2001-07-12
530,2002-02-23
532,2002-02-24
548,2002-09-05
553,2002-06-21
555,2002-06-23
556,2002-06-26
595,2002-12-15
611,2003-02-04
619,2003-04-20
636,2003-05-06
731,2003-08-22
743,2003-09-13
747,2003-09-17
775,2003-11-20
873,2004-09-18
958,2004-12-23
960,2005-01-13
961,2005-01-15
975,2005-11-02
990,2005-03-25
1000,2005-03-04
1006,2005-04-15
1020,2005-04-06
1022,2005-09-06
1023,2005-09-06
1027,2005-06-30
1030,2005-07-15
1031,2005-07-20
1036,2005-07-27
1038,2005-05-08
1068,2005-12-24
1071,2006-12-01
1072,2006-01-14
1089,2006-04-15
1098,2006-11-05
1120,2006-08-16
1143,2006-12-14
1188,2007-12-05
1199,2007-06-17
1200,2007-06-17
1205,2007-05-07
1214,2007-07-14
1222,2007-05-08
1238,2007-09-28
1244,2007-10-13
1249,2007-08-11
1268,2008-09-01
1303,2008-03-04
1347,2008-10-08
1350,2008-10-08
1407,2009-09-01
1419,2009-02-19
1428,2009-03-26
1430,2009-03-29
1437,2009-10-04
1449,2009-05-14
1470,2009-06-25
1524,2009-08-22
1567,2009-12-12
1570,2009-12-12
1575,2009-12-19
1578,2009-12-24
1579,2009-12-27
1621,2010-05-03
1633,2010-03-27
1666,2010-05-04
1713,2010-06-20
1715,2010-06-26
1738,2010-08-21
1811,2010-10-27
1821,2010-11-21
1878,2011-03-03
1882,2011-05-03
1891,2011-03-31
1893,2011-03-31
1916,2011-12-05
1920,2011-05-22
1936,2011-06-26
1987,2011-11-08
2002,2011-02-09
2012,2011-09-09
2015,2011-11-09
2024,2011-09-21
2025,2011-09-21
2027,2011-09-21
2048,2011-10-14
2062,2011-10-26
2064,2011-10-26
2066,2011-10-28
2069,2011-10-29
2084,2011-07-12
2145,2012-11-03
2155,2012-03-26
2192,2012-10-05
600,2003-01-23
1170,2007-01-04
100,1997-03-03
1076,2006-02-02
1282,2008-02-20
1935,2011-06-25
1747,2010-02-09
2269,2012-07-29
94,1997-03-03
350,1997-12-07
1608,2010-02-14
449,2000-05-07
953,2004-12-16
1476,2009-11-07
84,1997-03-03
1094,2006-04-23
1894,2011-03-31
1844,2011-08-01
2322,2012-06-09
2323,2012-06-09
477,2001-07-22
1420,2009-02-22
1900,2011-10-04
160,1997-03-03
372,1998-03-28
552,2002-06-21
1050,2005-09-18
2333,2012-09-14
2336,2012-09-14
2337,2012-09-14
65,1997-03-03
112,1997-03-03
113,1997-03-03
127,1997-03-03
129,1997-03-03
170,1997-03-03
281,1997-06-03
369,1998-02-27
383,1998-08-19
645,2003-06-26
729,2003-08-14
1044,2005-08-29
1293,2008-03-26
2341,2012-09-16
2343,2012-09-16
2344,2012-09-16
2332,2012-09-14
2352,2012-09-21
2353,2012-09-21
1085,2006-05-04
1139,2006-11-26
2061,2011-10-23
150,1997-03-03
2264,2012-07-27
137,1997-03-03
1820,2010-11-18
2313,2012-03-09
2414,2012-08-11
2349,2012-09-21
2350,2012-09-21
2351,2012-09-21
2390,2012-10-10
2403,2012-10-19
2428,2012-11-24
1016,2005-05-29
268,1997-06-03
862,2004-05-08
621,2003-02-05
624,2003-11-05
566,2002-08-21
115,1997-03-03
167,1997-03-03
1448,2009-05-14
1431,2009-03-04
1042,2005-08-24
1228,2007-08-30
1403,2008-12-28
521,2001-10-28
1209,2007-11-07
997,2005-02-04
101,1997-03-03
460,2000-11-25
88,1997-03-03
168,1997-03-03
280,1997-06-03
283,1997-06-03
219,1997-03-03
378,1998-03-06
465,2001-07-04
1080,2006-02-23
148,1997-03-03
1245,2007-10-14
331,1997-09-04
138,1997-03-03
306,1997-02-04
627,2003-05-15
1154,2007-11-02
1369,2008-10-10
119,1997-03-03
21,1997-03-03
1122,2006-08-30
2398,2012-10-17
2406,2012-10-24
2407,2012-10-24
2433,2012-11-30
2434,2012-11-30
1764,2010-09-09
2397,2012-10-14
2334,2012-09-14
2354,2012-09-21
2373,2012-09-30
2032,2011-09-25
1804,2010-10-21
2365,2012-09-28
2272,2012-07-30
2425,2012-11-22
1665,2010-04-04
2363,2012-09-28
2085,2011-07-12
2176,2012-04-15
2445,2012-09-12
2454,2012-12-20
2324,2012-06-09
1723,2010-07-21
2441,2012-08-12
2442,2012-08-12
2443,2012-09-12
2458,2012-12-20
2459,2012-12-20
2401,2012-10-18
2486,2013-01-20
2507,2013-02-17
2460,2012-12-21
2517,2013-07-03
2520,2013-10-03
2522,2013-03-14
2530,2013-03-22
2479,2013-05-01
2481,2013-10-01
2529,2013-03-22
2544,2013-07-04
2552,2013-04-18
2553,2013-04-18
2554,2013-04-18
2542,2013-04-04
2543,2013-05-04
2533,2013-03-31
2480,2013-09-01
2496,2013-01-27
1698,2010-05-29
2576,2013-04-05
2577,2013-04-05
2581,2013-06-05
2588,2013-11-05
2596,2013-05-18
2478,2013-05-01
2604,2013-05-27
2609,2013-05-30
2462,2012-12-22
2465,2012-12-24
2498,2013-01-27
2506,2013-02-16
2508,2013-02-17
2562,2013-04-22
2518,2013-07-03
2630,2013-04-07
2631,2013-04-07
2629,2013-04-07
2637,2013-05-07
2644,2013-10-07
2495,2013-01-27
2463,2012-12-22
2547,2013-10-04
2548,2013-10-04
2666,2013-07-24
1664,2010-02-04
1750,2010-02-09
1784,2010-12-09
1863,2011-02-16
1870,2011-02-20
2612,2013-12-06
2189,2012-04-29
1194,2007-03-06
1384,2008-09-11
255,1997-06-03
2314,2012-02-09
22,1997-03-03
25,1997-03-03
37,1997-03-03
75,1997-03-03
239,1997-06-03
240,1997-06-03
242,1997-06-03
410,1999-10-06
451,2000-08-28
533,2002-02-24
537,2002-03-03
1223,2007-08-08
1235,2007-09-15
648,2003-05-07
2335,2012-09-14
59,1997-03-03
544,2002-03-27
550,2002-05-06
613,2003-09-04
1066,2005-12-18
1413,2009-04-02
1535,2009-09-13
1556,2009-11-19
1822,2010-11-27
1849,2011-04-02
1854,2011-12-02
1883,2011-10-03
1890,2011-03-27
2056,2011-10-15
2105,2011-12-28
2130,2012-02-17
2160,2012-03-31
2195,2012-05-24
404,1999-10-04
162,1997-03-03
601,2003-01-25
463,2000-12-24
1176,2007-08-04
746,2003-09-13
1833,2010-12-17
1872,2011-02-27
2306,2012-08-27
2304,2012-08-26
2127,2012-09-02
2141,2012-03-03
50,1997-03-03
61,1997-03-03
142,1997-03-03
165,1997-03-03
179,1997-03-03
213,1997-03-03
226,1997-06-03
230,1997-06-03
233,1997-06-03
237,1997-06-03
262,1997-06-03
264,1997-06-03
266,1997-06-03
271,1997-06-03
275,1997-06-03
282,1997-06-03
297,1997-02-04
329,1997-09-04
334,1997-04-14
341,1997-09-05
414,1999-08-29
424,1999-12-17
450,2000-07-21
592,2002-11-29
622,2003-08-05
834,2004-04-17
874,2004-09-19
1025,2005-06-19
1102,2006-05-28
1115,2006-07-29
1147,2007-11-01
1171,2007-01-04
1189,2007-05-18
1193,2007-05-30
1302,2008-03-31
1317,2008-04-06
1321,2008-06-15
1391,2008-07-12
1456,2009-05-21
1523,2009-08-21
1530,2009-05-09
1548,2009-08-11
1574,2009-12-28
1594,2010-01-17
1743,2010-08-22
1823,2010-11-28
1826,2010-03-12
1903,2011-04-17
1905,2011-04-24
1915,2011-08-05
1996,2011-08-28
2103,2011-12-18
2143,2012-08-03
2144,2012-10-03
2190,2012-04-30
2204,2012-05-28
433,2000-03-26
85,1997-03-03
2254,2012-07-14
361,1997-12-24
81,1997-03-03
272,1997-06-03
629,2003-05-16
2293,2012-12-08
1164,2007-03-28
1779,2010-12-09
55,1997-03-03
1134,2006-09-11
48,1997-03-03
106,1997-03-03
1145,2006-12-28
277,1997-06-03
284,1997-06-03
304,1997-02-04
580,2002-09-13
774,2003-11-16
1301,2008-03-30
1710,2010-06-17
2068,2011-10-29
2355,2012-09-22
850,2004-06-13
1043,2005-08-25
2357,2012-09-22
2360,2012-09-26
1009,2005-04-21
141,1997-03-03
2367,2012-09-29
2368,2012-09-29
1146,2006-12-28
976,2005-11-02
1294,2008-03-27
602,2003-06-02
1450,2009-05-15
348,1997-06-20
1190,2007-05-20
522,2001-08-11
263,1997-06-03
279,1997-06-03
147,1997-03-03
353,1997-09-21
1242,2007-04-10
2326,2012-09-09
2400,2012-10-17
2408,2012-10-24
2410,2012-10-26
2420,2012-11-18
2439,2012-03-12
2348,2012-09-21
2375,2012-03-10
2372,2012-09-30
1601,2010-07-02
1674,2010-04-17
2004,2011-03-09
2273,2012-07-30
1806,2010-10-17
2177,2012-04-15
2438,2012-03-12
1756,2010-05-09
1981,2011-07-31
2457,2012-12-20
2358,2012-09-22
2470,2012-12-29
2511,2013-02-24
2525,2013-03-16
2532,2013-03-30
2534,2013-03-31
2536,2013-01-04
2560,2013-04-20
2499,2013-01-30
1625,2010-12-03
1598,2010-04-02
2535,2013-03-31
2610,2013-05-31
2504,2013-08-02
2551,2013-04-17
2464,2012-12-24
2505,2013-09-02
2606,2013-05-29
2440,2012-08-12
2531,2013-03-23
2641,2013-08-07
2656,2013-07-14
2657,2013-07-18
2662,2013-07-20
1727,2010-07-23
1798,2010-06-10
2603,2013-05-24
2664,2013-07-20
52,1997-03-03
964,2005-01-16
1558,2009-11-20
1566,2009-03-12
2208,2012-02-06
423,1999-12-12
579,2002-12-09
83,1997-03-03
97,1997-03-03
354,1997-09-29
366,1998-02-14
860,2004-07-23
1349,2008-10-08
2106,2011-12-28
99,1997-03-03
876,2004-08-10
2413,2012-08-11
1167,2007-01-04
459,2000-05-11
996,2005-02-04
434,2000-07-04
145,1997-03-03
2381,2012-06-10
2446,2012-09-12
2422,2012-11-18
2526,2013-03-16
2515,2013-02-03
2575,2013-04-05
2597,2013-05-18
2586,2013-10-05
2476,2012-12-31
2611,2013-10-06
2628,2013-04-07
2613,2013-02-06
1955,2011-07-17
608,2003-02-03
315,1997-02-04
992,2005-03-31
967,2005-01-21
289,1997-02-04
2471,2012-12-29
2599,2013-05-19
1832,2010-12-17
2037,2011-09-29
2670,2013-07-26
2674,2013-07-28
2685,2013-09-08
2706,2013-08-22
2717,2013-08-28
2718,2013-08-28
2673,2013-07-27
2734,2013-08-09
2703,2013-08-19
2681,2013-07-08
2770,2013-10-27
2774,2013-10-30
2775,2013-10-31
2728,2013-05-09
2758,2013-11-10
2780,2013-09-11
2785,2013-11-15
2792,2013-11-17
2757,2013-07-10
2795,2013-11-18
2796,2013-11-18
2798,2013-11-21
2800,2013-11-21
2748,2013-09-22
2721,2013-08-30
2808,2013-11-29
2730,2013-06-09
2816,2013-08-12
2752,2013-09-26
2786,2013-11-15
2765,2013-10-25
2745,2013-09-20
2013,2011-10-09
2712,2013-08-24
2756,2013-09-27
2665,2013-07-21
2749,2013-09-25
2771,2013-10-28
2778,2013-04-11
2789,2013-11-16
2790,2013-11-16
2793,2013-11-17
2794,2013-11-18
2802,2013-11-22
2810,2013-11-30
2782,2013-11-11
2822,2013-12-14
2823,2013-12-15
2687,2013-10-08
2807,2013-11-29
2701,2013-08-18
2671,2013-07-26
2684,2013-08-08
2713,2013-08-25
2167,2012-06-04
2280,2012-03-08
2806,2013-11-25
2707,2013-08-22
2769,2013-10-27
2750,2013-09-26
1924,2011-02-06
2746,2013-09-21
2799,2013-11-21
2699,2013-08-18
2787,2013-11-16
2784,2013-11-13
