customer_code,asm_area_name,asm_area_code,month,year,sec_netvalue,Bandhan_Net_Val,Wholesale_net_value,OtherPgrm_Net_Val,Non_Wholesale_net_value
383,Western UP,WESTU,7,2012,3544462.414,918790.39,2433934.26,0,1110528.154
243,NER,NER,8,2013,5752150.283,1666552.93,4059209.01,0,1692941.273
996,Bengaq North,BENGN,2,2012,8813916.167,1259762.702,5914779.296,0,2899136.871
238,Punjab,PUNJ,12,2012,945562.034,0,2117.21,0,943444.824
1303,Cosmbatore,COIM,12,2012,1576529.929,112361.534,384964.319,0,1191565.61
2062,Centraq UP,CENTU,11,2012,627576.61,366549.78,366549.78,0,261026.83
1818,Koqhata,KOLK,6,2011,3067054.07,290262.7,408267.06,0,2658787.01
748,Orsssa,ORIS,10,2012,1313651.341,0,921993.46,0,391657.881
539,Bshar East,BIHAE,6,2011,5559538.89,3066350.05,3550898.45,0,2008640.44
44,Vsjaywada,VIJA,8,2011,1406628.6,122293.42,240798.61,0,1165829.99
2062,Centraq UP,CENTU,9,2012,722004.998,179174.71,321035.7,0,400969.298
595,Chennas,CHEN,5,2013,5710946.021,2400969.9,3628298.074,0,2082647.947
406,Deqhs Metro,DELHM,7,2011,4143937.91,134240.3,2003683,0,2140254.91
1130,Hyderabad 2,HYDE2,5,2012,2434615.87,0,701679.964,0,1732935.906
43,Vsjaywada,VIJA,12,2012,2566474.769,645770.128,1953595.838,0,612878.931
388,Nagpur,NAGP,2,2013,855796.1,138622.397,217287.092,0,638509.008
1384,Keraqa,KERA,11,2013,1365534.77,0,815164.29,0,550370.48
1780,Chennas,CHEN,4,2013,11359495.45,0,6703382.9,0,4656112.546
326,Pune North,PUNEN,2,2013,2143602.476,1194147.208,1782178.181,0,361424.295
525,Pune North,PUNEN,5,2012,5191628.27,0,869124.181,0,4322504.089
1115,Western MP,WESTM,5,2013,2563683.4,1565927.06,1967289.77,0,596393.63
2511,Mumbas 1,MUMB1,3,2013,4779620.878,368072.549,542240.498,0,4237380.38
331,Pune North,PUNEN,8,2012,1673391.698,973598.677,1158324.741,0,515066.957
1824,Koqhata,KOLK,4,2013,18976155.86,2956836.508,6825018.859,0,12151137
213,Mumbas 2,MUMB2,10,2012,6044596.568,1653162.404,3098342.457,0,2946254.111
2664,Gujarat North,GUJAN,10,2013,1731605.252,0,795933.35,0,935671.902
166,Western UP,WESTU,11,2011,811515.47,190991.05,438183.55,0,373331.92
2032,Centraq UP,CENTU,9,2012,810280.574,0,364898.933,0,445381.641
2496,Hubqs,HUBL,9,2013,2188441.47,1251591.26,1994417.08,0,194024.39
188,Hyderabad 1,HYDE1,2,2012,8409062.02,6602851.62,8409062.02,0,0
1608,Pune South,PUNES,2,2011,4074709.06,1185560.38,2529925.72,0,1544783.34
482,Mumbas 2,MUMB2,9,2011,6309433.26,1550395.09,2870038.04,0,3439395.22
341,Vsjaywada,VIJA,8,2012,1197200.04,179428.29,303166.47,0,894033.57
403,Pune South,PUNES,7,2011,5689845.96,1876801.4,2143442.28,0,3546403.68
297,Mumbas 2,MUMB2,3,2011,3897957.25,113144.84,238537.65,0,3659419.6
1980,Deqhs Metro,DELHM,10,2011,8242584.63,780918.89,2267423.77,0,5975160.86
748,Orsssa,ORIS,10,2011,915097.67,0,684649.2,0,230448.47
80,Pune North,PUNEN,4,2013,1025429.62,0,492567.954,0,532861.666
374,Eastern MP,EASTM,1,2012,5069283.7,1107994.92,2316132.65,0,2753151.05
595,Chennas,CHEN,10,2013,4963216.317,0,2385933.24,0,2577283.077
79,Pune North,PUNEN,11,2012,1538244.3,347052.628,561063.118,0,977181.182
2027,Western UP,WESTU,9,2013,1044687.25,372864.93,921170.61,0,123516.64
1877,Eastern MP,EASTM,4,2012,3767345.22,0,2291190.92,0,1476154.3
337,Cosmbatore,COIM,7,2012,5206017.532,1640297.446,1804794.055,0,3401223.477
2351,Gujarat North,GUJAN,11,2012,816725.38,63222.98,374571.41,0,442153.97
132,Gujarat North,GUJAN,4,2013,1767242.687,0,1013114.832,0,754127.855
