asm_area_code,customer_code,Year,Month,Retailers,Invoices,Retailers_Univ,EC
BIHAE,2628,2013,12,278,457,298,0.932885906
BIHAW,29,2011,4,852,2496,875,0.973714286
BIHAW,29,2011,5,812,1970,890,0.912359551
BIHAW,29,2011,6,828,2124,890,0.930337079
BIHAW,29,2011,7,873,2671,920,0.948913043
BIHAW,29,2011,8,819,1928,935,0.8759358290000001
BIHAW,29,2011,9,854,2300,923,0.92524377
BIHAW,29,2011,10,838,2031,902,0.929046563
BIHAW,29,2011,11,781,1685,890,0.87752809
BIHAW,29,2011,12,1010,2929,1029,0.981535471
BIHAW,29,2012,1,1190,2468,1353,0.879526977
BIHAW,29,2012,2,1287,2536,1608,0.8003731340000001
BIHAW,29,2012,3,1209,2291,1765,0.684985836
BIHAW,29,2012,4,1358,2938,1834,0.740458015
BIHAW,29,2012,5,1285,2514,1873,0.686065136
BIHAW,29,2012,6,1250,2496,1847,0.6767731459999999
BIHAW,29,2012,7,1524,3380,1856,0.82112069
BIHAW,29,2012,8,1322,2770,1811,0.729983435
BIHAW,29,2012,9,1466,3357,1859,0.7885960190000001
BIHAW,29,2012,10,1622,3497,1908,0.850104822
BIHAW,29,2012,11,1395,2646,1906,0.731899265
BIHAW,29,2012,12,1385,2854,1889,0.733192165
BIHAW,29,2013,1,1715,3675,1932,0.8876811590000001
BIHAW,29,2013,2,1564,3205,1956,0.799591002
BIHAW,29,2013,3,1318,2266,2018,0.653121903
BIHAW,29,2013,4,1272,2999,1900,0.669473684
BIHAW,29,2013,5,1309,3739,1803,0.726012202
BIHAW,29,2013,6,1256,3124,1653,0.7598306109999999
BIHAW,29,2013,7,1029,1816,1603,0.6419213970000001
BIHAW,29,2013,8,1200,2889,1548,0.775193798
BIHAW,29,2013,9,1234,2672,1464,0.842896175
BIHAW,29,2013,10,1241,3103,1486,0.83512786
BIHAW,29,2013,11,1494,4436,1561,0.957078796
BIHAW,29,2013,12,1391,3742,1564,0.8893861890000001
BIHAW,32,2011,4,199,340,209,0.95215311
BIHAW,32,2011,5,203,288,213,0.953051643
BIHAW,32,2011,6,217,283,217,1.0
BIHAW,32,2011,7,217,353,217,1.0
BIHAW,32,2011,8,216,306,217,0.995391705
BIHAW,32,2011,9,221,317,221,1.0
BIHAW,32,2011,10,221,300,221,1.0
BIHAW,32,2011,11,212,252,222,0.954954955
BIHAW,32,2011,12,223,418,223,1.0
BIHAW,32,2012,1,223,263,223,1.0
BIHAW,32,2012,2,178,243,231,0.7705627709999999
BIHAW,32,2012,3,166,308,232,0.7155172409999999
BIHAW,32,2012,4,288,538,294,0.979591837
BIHAW,32,2012,5,180,540,294,0.6122448979999999
BIHAW,32,2012,6,169,592,299,0.565217391
BIHAW,32,2012,7,186,425,208,0.8942307690000001
BIHAW,32,2012,8,180,237,205,0.87804878
BIHAW,32,2012,9,160,392,203,0.78817734
BIHAW,32,2012,10,217,475,230,0.943478261
BIHAW,32,2012,11,154,226,236,0.652542373
BIHAW,32,2012,12,183,511,236,0.775423729
BIHAW,32,2013,1,231,585,241,0.958506224
BIHAW,32,2013,2,191,381,248,0.77016129
BIHAW,32,2013,3,161,297,251,0.641434263
BIHAW,32,2013,4,214,429,240,0.8916666670000001
BIHAW,32,2013,5,215,708,224,0.959821429
BIHAW,32,2013,6,214,689,215,0.995348837
BIHAW,32,2013,7,205,438,215,0.953488372
BIHAW,32,2013,8,215,671,215,1.0
BIHAW,32,2013,9,216,702,216,1.0
BIHAW,32,2013,10,215,506,216,0.99537037
BIHAW,32,2013,11,216,764,216,1.0
BIHAW,32,2013,12,217,686,217,1.0
BIHAW,34,2011,4,254,474,292,0.8698630140000001
BIHAW,34,2011,5,334,627,339,0.985250737
BIHAW,34,2011,6,310,539,347,0.893371758
BIHAW,34,2011,7,338,824,363,0.931129477
BIHAW,34,2011,8,358,683,379,0.944591029
BIHAW,34,2011,9,362,874,373,0.970509383
BIHAW,34,2011,10,360,750,373,0.965147453
