customer_code,year,month,reason_code_description_new_new,order_qty_in_cases,allocated_qty_in_cases,non_allocated_qty_in_cases,simple avg allocated percent,simple avg allocated value percent,allocated_value,total_order_value
227,2011,10,STONOTAVA,394.23,0.0,394.23,0.0,0.0,0.0,1106751.62
961,2011,10,NOTINV,395.61,0.0,395.61,0.0,0.0,0.0,1244387.56
1027,2011,10,NOTINV,483.65,0.0,483.65,0.0,0.0,0.0,1670403.66
166,2011,10,NOTINV,35.06,0.0,35.06,0.0,0.0,0.0,134850.84
1868,2011,10,STONOTAVA,0.5,0.0,0.5,0.0,0.0,0.0,2624.8
2009,2011,10,STONOTAVA,27.5,0.0,27.5,0.0,0.0,0.0,62047.12
1849,2011,10,NOTINV,45.22,0.0,45.22,0.0,0.0,0.0,137336.12
1281,2011,10,NOTINV,105.76,0.0,105.76,0.0,0.0,0.0,331075.71
1357,2011,10,NOTINV,17.37,0.0,17.37,0.0,0.0,0.0,60926.45
1588,2011,10,OTHE,58.0,0.0,58.0,0.0,0.0,0.0,192240.0
1929,2011,10,STONOTAVA,205.77,0.0,205.77,0.0,0.0,0.0,600212.96
214,2011,10,STONOTAVA,80.0,0.0,80.0,0.0,0.0,0.0,286445.76
1899,2011,10,STONOTAVA,71.0,0.0,71.0,0.0,0.0,0.0,238611.76
243,2011,10,STONOTAVA,199.0,0.0,199.0,0.0,0.0,0.0,623675.48
1207,2011,10,STONOTAVA,265.0,0.0,265.0,0.0,0.0,0.0,744310.5
584,2011,10,STONOTAVA,72.0,0.0,72.0,0.0,0.0,0.0,266397.32
159,2011,10,STONOTAVA,234.38,0.0,234.38,0.0,0.0,0.0,571091.34
1172,2011,10,STONOTAVA,28.0,0.0,28.0,0.0,0.0,0.0,57066.56
1398,2011,10,STONOTAVA,37.78,0.0,37.78,0.0,0.0,0.0,200153.9
1398,2011,10,OTHE,4.83,0.0,4.83,0.0,0.0,0.0,23183.56
1370,2011,10,STONOTAVA,30.5,0.0,30.5,0.0,0.0,0.0,112212.58
1115,2011,10,STONOTAVA,55.0,0.0,55.0,0.0,0.0,0.0,182010.06
1535,2011,10,STONOTAVA,40.53,0.0,40.53,0.0,0.0,0.0,157543.9
1695,2011,10,STONOTAVA,34.04,0.0,34.04,0.0,0.0,0.0,137411.56
303,2011,10,STONOTAVA,217.25,0.0,217.25,0.0,0.0,0.0,627986.28
13,2011,10,STONOTAVA,24.72,0.0,24.72,0.0,0.0,0.0,90763.06
554,2011,10,CREISS,287.9,0.0,287.9,0.0,0.0,0.0,941510.29
1877,2011,10,NOTINV,14.0,0.0,14.0,0.0,0.0,0.0,48524.16
239,2011,10,STONOTAVA,31.0,0.0,31.0,0.0,0.0,0.0,108694.2
1590,2011,10,STONOTAVA,12.13,0.0,12.13,0.0,0.0,0.0,41597.95
1730,2011,10,STONOTAVA,112.18,0.0,112.18,0.0,0.0,0.0,419837.59
